stimulusValueType;stimulusAudioValue;stimulusValue;stimulusType;keyCode;response;keyIndex
audio-image;b.mp3;grid_pos_1.png;17;ArrowUp;none;3
audio-image;f.mp3;grid_pos_1.png;33;ArrowUp;none;3
audio-image;k.mp3;grid_pos_1.png;49;ArrowLeft;image;0
audio-image;n.mp3;grid_pos_1.png;65;ArrowUp;none;3
audio-image;p.mp3;grid_pos_1.png;81;ArrowDown;both;2
audio-image;q.mp3;grid_pos_1.png;97;ArrowRight;audio;1
audio-image;r.mp3;grid_pos_1.png;113;ArrowUp;none;3
audio-image;t.mp3;grid_pos_1.png;129;ArrowUp;none;3
audio-image;b.mp3;grid_pos_2.png;18;ArrowRight;audio;1
audio-image;f.mp3;grid_pos_2.png;34;ArrowUp;image;0
audio-image;k.mp3;grid_pos_2.png;50;ArrowUp;none;3
audio-image;n.mp3;grid_pos_2.png;66;ArrowUp;none;3
audio-image;p.mp3;grid_pos_2.png;82;ArrowLeft;image;0
audio-image;q.mp3;grid_pos_2.png;98;ArrowUp;none;3
audio-image;r.mp3;grid_pos_2.png;114;ArrowDown;both;2
audio-image;t.mp3;grid_pos_2.png;130;ArrowRight;audio;1
audio-image;b.mp3;grid_pos_3.png;19;ArrowUp;none;3
audio-image;f.mp3;grid_pos_3.png;35;ArrowUp;none;3
audio-image;k.mp3;grid_pos_3.png;51;ArrowRight;audio;1
audio-image;n.mp3;grid_pos_3.png;67;ArrowUp;image;0
audio-image;p.mp3;grid_pos_3.png;83;ArrowUp;none;3
audio-image;q.mp3;grid_pos_3.png;99;ArrowUp;none;3
audio-image;r.mp3;grid_pos_3.png;115;ArrowLeft;image;0
audio-image;t.mp3;grid_pos_3.png;131;ArrowUp;none;3
audio-image;b.mp3;grid_pos_4.png;20;ArrowDown;both;2
audio-image;f.mp3;grid_pos_4.png;36;ArrowRight;audio;1
audio-image;k.mp3;grid_pos_4.png;52;ArrowUp;none;3
audio-image;n.mp3;grid_pos_4.png;68;ArrowUp;none;3
audio-image;p.mp3;grid_pos_4.png;84;ArrowRight;audio;1
audio-image;q.mp3;grid_pos_4.png;100;ArrowUp;image;0
audio-image;r.mp3;grid_pos_4.png;116;ArrowUp;none;3
audio-image;t.mp3;grid_pos_4.png;132;ArrowUp;none;3
audio-image;b.mp3;grid_pos_5.png;21;ArrowLeft;image;0
audio-image;f.mp3;grid_pos_5.png;37;ArrowUp;none;3
audio-image;k.mp3;grid_pos_5.png;53;ArrowDown;both;2
audio-image;n.mp3;grid_pos_5.png;69;ArrowRight;audio;1
audio-image;p.mp3;grid_pos_5.png;85;ArrowUp;none;3
audio-image;q.mp3;grid_pos_5.png;101;ArrowUp;none;3
audio-image;r.mp3;grid_pos_5.png;117;ArrowRight;audio;1
audio-image;t.mp3;grid_pos_5.png;133;ArrowUp;image;0
audio-image;b.mp3;grid_pos_6.png;22;ArrowUp;none;3
audio-image;f.mp3;grid_pos_6.png;38;ArrowUp;none;3
audio-image;k.mp3;grid_pos_6.png;54;ArrowLeft;image;0
audio-image;n.mp3;grid_pos_6.png;70;ArrowUp;none;3
audio-image;p.mp3;grid_pos_6.png;86;ArrowDown;both;2
audio-image;q.mp3;grid_pos_6.png;102;ArrowRight;audio;1
audio-image;r.mp3;grid_pos_6.png;118;ArrowUp;none;3
audio-image;t.mp3;grid_pos_6.png;134;ArrowUp;none;3
audio-image;b.mp3;grid_pos_7.png;23;ArrowRight;audio;1
audio-image;f.mp3;grid_pos_7.png;39;ArrowUp;image;0
audio-image;k.mp3;grid_pos_7.png;55;ArrowUp;none;3
audio-image;n.mp3;grid_pos_7.png;71;ArrowUp;none;3
audio-image;p.mp3;grid_pos_7.png;87;ArrowLeft;image;0
audio-image;q.mp3;grid_pos_7.png;103;ArrowUp;none;3
audio-image;r.mp3;grid_pos_7.png;119;ArrowDown;both;2
audio-image;t.mp3;grid_pos_7.png;135;ArrowRight;audio;1
audio-image;b.mp3;grid_pos_8.png;24;ArrowUp;none;3
audio-image;f.mp3;grid_pos_8.png;40;ArrowUp;none;3
audio-image;k.mp3;grid_pos_8.png;56;ArrowRight;audio;1
audio-image;n.mp3;grid_pos_8.png;72;ArrowUp;image;0
audio-image;p.mp3;grid_pos_8.png;88;ArrowUp;none;3
audio-image;q.mp3;grid_pos_8.png;104;ArrowUp;none;3
audio-image;r.mp3;grid_pos_8.png;120;ArrowLeft;image;0
audio-image;t.mp3;grid_pos_8.png;136;ArrowUp;none;3
audio-image;b.mp3;grid_pos_9.png;25;ArrowDown;both;2
audio-image;f.mp3;grid_pos_9.png;41;ArrowRight;audio;1
audio-image;k.mp3;grid_pos_9.png;57;ArrowUp;none;3
audio-image;n.mp3;grid_pos_9.png;73;ArrowUp;none;3
audio-image;p.mp3;grid_pos_9.png;89;ArrowRight;audio;1
audio-image;q.mp3;grid_pos_9.png;105;ArrowUp;image;0
audio-image;r.mp3;grid_pos_9.png;121;ArrowRight;audio;1
audio-image;t.mp3;grid_pos_9.png;137;ArrowUp;image;0
