stimulusType;stimulusValue;stimulusValueType;cueValue;cueValueType;correctResponse;shiftingType;keyCode1;keyLabel1;keyLabelType1;response1;keyIndex1;keyCode2;keyLabel2;keyLabelType2;response2;keyIndex2
color;r_b_07.png;image;shifting_color.png;image;blue;single;ArrowLeft;shifting_blue.png;image;blue;0;ArrowRight;shifting_green.png;image;green;1
color;r_g_09.png;image;shifting_color.png;image;green;single;ArrowLeft;shifting_blue.png;image;blue;0;ArrowRight;shifting_green.png;image;green;1
color;e_g_04.png;image;shifting_color.png;image;green;single;ArrowLeft;shifting_blue.png;image;blue;0;ArrowRight;shifting_green.png;image;green;1
color;r_b_14.png;image;shifting_color.png;image;blue;single;ArrowLeft;shifting_blue.png;image;blue;0;ArrowRight;shifting_green.png;image;green;1
color;e_b_06.png;image;shifting_color.png;image;blue;single;ArrowLeft;shifting_blue.png;image;blue;0;ArrowRight;shifting_green.png;image;green;1
color;e_g_10.png;image;shifting_color.png;image;green;single;ArrowLeft;shifting_blue.png;image;blue;0;ArrowRight;shifting_green.png;image;green;1
color;e_b_16.png;image;shifting_color.png;image;blue;single;ArrowLeft;shifting_blue.png;image;blue;0;ArrowRight;shifting_green.png;image;green;1
color;e_g_08.png;image;shifting_color.png;image;green;single;ArrowLeft;shifting_blue.png;image;blue;0;ArrowRight;shifting_green.png;image;green;1
color;e_b_02.png;image;shifting_color.png;image;blue;single;ArrowLeft;shifting_blue.png;image;blue;0;ArrowRight;shifting_green.png;image;green;1
color;r_g_03.png;image;shifting_color.png;image;green;single;ArrowLeft;shifting_blue.png;image;blue;0;ArrowRight;shifting_green.png;image;green;1
color;r_b_13.png;image;shifting_color.png;image;blue;single;ArrowLeft;shifting_blue.png;image;blue;0;ArrowRight;shifting_green.png;image;green;1
color;r_g_01.png;image;shifting_color.png;image;green;single;ArrowLeft;shifting_blue.png;image;blue;0;ArrowRight;shifting_green.png;image;green;1
