trialsno;listlength;phase;type;step;updatedPosition;shownLetter;nSubstitutions;nRepetitions;letter0;letter1;letter2;letter3;letter4
1;5;0;encoding;5;0;NO;0;0;S;J;B;L;H
1;5;1;updating;1;4;H;0;1;S;J;B;L;H
1;5;1;updating;2;2;M;1;0;S;J;M;L;H
1;5;1;updating;3;3;L;0;1;S;J;M;L;H
1;5;1;updating;4;4;T;1;1;S;J;M;L;T
1;5;1;updating;5;2;M;1;1;S;J;M;L;T
1;5;2;recall;1;0;S;0;0;S;J;M;L;T
1;5;2;recall;2;1;J;0;0;S;J;M;L;T
1;5;2;recall;3;2;M;1;1;S;J;M;L;T
1;5;2;recall;4;3;L;0;1;S;J;M;L;T
1;5;2;recall;5;4;T;1;1;S;J;M;L;T
2;5;0;encoding;5;0;NO;0;0;K;F;S;P;W
2;7;1;updating;1;0;T;1;0;T;F;S;P;W
2;7;1;updating;2;4;W;0;1;T;F;S;P;W
2;7;1;updating;3;3;K;1;0;T;F;S;K;W
2;7;1;updating;4;0;R;2;0;R;F;S;K;W
2;7;1;updating;5;4;W;0;2;R;F;S;K;W
2;7;1;updating;6;1;V;1;0;R;V;S;K;W
2;7;1;updating;7;3;K;1;1;R;V;S;K;W
2;5;2;recall;1;0;R;2;0;R;V;S;K;W
2;5;2;recall;2;1;V;1;0;R;V;S;K;W
2;5;2;recall;3;2;S;0;0;R;V;S;K;W
2;5;2;recall;4;3;K;1;1;R;V;S;K;W
2;5;2;recall;5;4;W;0;2;R;V;S;K;W
3;5;0;encoding;5;0;NO;0;0;G;P;D;K;F
3;9;1;updating;1;2;N;1;0;G;P;N;K;F
3;9;1;updating;2;1;P;0;1;G;P;N;K;F
3;9;1;updating;3;3;B;1;0;G;P;N;B;F
3;9;1;updating;4;1;P;0;2;G;P;N;B;F
3;9;1;updating;5;2;T;2;0;G;P;T;B;F
3;9;1;updating;6;1;D;1;2;G;D;T;B;F
3;9;1;updating;7;4;C;1;0;G;D;T;B;C
3;9;1;updating;8;1;H;2;2;G;H;T;B;C
3;9;1;updating;9;4;C;1;1;G;H;T;B;C
3;5;2;recall;1;0;G;0;0;G;H;T;B;C
3;5;2;recall;2;1;H;2;2;G;H;T;B;C
3;5;2;recall;3;2;T;2;0;G;H;T;B;C
3;5;2;recall;4;3;B;1;0;G;H;T;B;C
3;5;2;recall;5;4;C;1;1;G;H;T;B;C
